1,Joseph,Dunnigan,"Service King, Inc.",500 Bethany Dr,#500,Allen,TX,75013,866-290-5400,integration@forte.net,CO-000001,4111111111111111,Joseph Dunnigan,visa,02,2024
2,Rosaline,Walser,Bitronic Means,2449 Industrial,Ste 200,Allen,TX,75013,891-344-7229,rosaline@bitronic.com,CO-000002,5555555555554444,Rosaline Walser,mast,07,2022
3,Jenny,Hultgren,Texas Instruments,484 TI Blvd,Bldg A,Dallas,TX,75228,838-988-1881,jenny@texasinstruments.com,CO-000003,378282246310005,Jenny Hultgren,amex,05,2024
4,Micaela,Houchins,"Creative Design, LLC",922 Main St,,Garland,TX,75038,988-188-9811,micaela.houchins@creative.com,CO-000004,4111111111111111,Micaela Houchins,visa,12,2019
5,Leda,Cerda,Keep Coming Back,9119 Myrtice Dr,,Oak Cliff,TX,75033,214-887-1881,leda.cerda@keepcomingback.com,CO-000005,371449635398431,Leda Cerda,amex,08,2023
6,Kourtney,Hopton,Kourtney's Place,188 Elm St,Ste 400,McKinney,TX,75022,972-199-6767,kourtney@kourtneysplace.com,CO-000006,4111111111111111,Kourtney Hopton,visa,10,2024
7,Laurinda,Small,Clover Security,9772 Wintergreen Ave,,Euless,TX,75021,214-884-8390,laurinda123@hotmail.com,CO-000007,5105105105105100,Laurinda Small,mast,11,2026
8,William,Jenkins,Jenkins Aviation,343 Foxrun Drive,,Dallas,TX,72445,972-889-2272,williamjenkins432@gmail.com,CO-000008,4012888888881881,William Jenkins,visa,04,2024
9,Ron,Hollin,"Moonlightings, Inc.",713 Hudson St,Ste 410,Houston,TX,74899,214-998-2772,ron.hollin@moonlightingsinc.com,CO-000009,4012888888881881,Ron Hollin,visa,07,2022
10,Neely,Chaleux,Revelation Media,2323 Beacon Street,,San Antonio,TX,74998,214-998-4554,neely.chaleux@revelation.com,CO-000010,5105105105105100,Neely Chaleux,mast,12,2024
